audio_id,audio_path,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,ambient_noise
audio_0037,audio_0037.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0038,audio_0038.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0039,audio_0039.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0040,audio_0040.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0041,audio_0041.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0042,audio_0042.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0043,audio_0043.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0044,audio_0044.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0045,audio_0045.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0046,audio_0046.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0047,audio_0047.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0048,audio_0048.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0049,audio_0049.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0050,audio_0050.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0051,audio_0051.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0052,audio_0052.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0053,audio_0053.wav,0,0,0,0,1,0,0,0,0,0,0
audio_0054,audio_0054.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0055,audio_0055.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0056,audio_0056.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0057,audio_0057.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0058,audio_0058.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0059,audio_0059.wav,0,0,0,0,1,0,0,0,0,0,0
audio_0060,audio_0060.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0061,audio_0061.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0062,audio_0062.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0063,audio_0063.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0064,audio_0064.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0065,audio_0065.wav,0,0,1,0,0,0,0,0,0,0,0
audio_0066,audio_0066.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0067,audio_0067.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0068,audio_0068.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0069,audio_0069.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0070,audio_0070.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0071,audio_0071.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0072,audio_0072.wav,0,0,0,0,1,0,0,0,0,0,0
audio_0073,audio_0073.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0074,audio_0074.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0075,audio_0075.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0076,audio_0076.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0077,audio_0077.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0078,audio_0078.wav,0,0,0,0,0,0,0,0,0,1,0
audio_0079,audio_0079.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0080,audio_0080.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0081,audio_0081.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0082,audio_0082.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0083,audio_0083.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0084,audio_0084.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0085,audio_0085.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0086,audio_0086.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0087,audio_0087.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0088,audio_0088.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0089,audio_0089.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0090,audio_0090.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0091,audio_0091.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0092,audio_0092.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0093,audio_0093.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0094,audio_0094.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0095,audio_0095.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0096,audio_0096.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0097,audio_0097.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0098,audio_0098.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0099,audio_0099.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0100,audio_0100.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0101,audio_0101.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0102,audio_0102.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0103,audio_0103.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0104,audio_0104.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0105,audio_0105.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0106,audio_0106.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0107,audio_0107.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0108,audio_0108.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0109,audio_0109.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0110,audio_0110.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0111,audio_0111.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0112,audio_0112.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0113,audio_0113.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0114,audio_0114.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0115,audio_0115.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0116,audio_0116.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0117,audio_0117.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0118,audio_0118.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0119,audio_0119.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0120,audio_0120.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0121,audio_0121.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0122,audio_0122.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0123,audio_0123.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0124,audio_0124.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0125,audio_0125.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0126,audio_0126.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0127,audio_0127.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0128,audio_0128.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0129,audio_0129.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0130,audio_0130.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0131,audio_0131.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0132,audio_0132.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0133,audio_0133.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0134,audio_0134.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0135,audio_0135.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0136,audio_0136.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0137,audio_0137.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0138,audio_0138.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0139,audio_0139.wav,0,0,0,0,1,0,0,0,0,0,0
audio_0140,audio_0140.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0141,audio_0141.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0142,audio_0142.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0143,audio_0143.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0144,audio_0144.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0145,audio_0145.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0146,audio_0146.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0147,audio_0147.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0148,audio_0148.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0149,audio_0149.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0150,audio_0150.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0151,audio_0151.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0152,audio_0152.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0153,audio_0153.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0154,audio_0154.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0155,audio_0155.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0156,audio_0156.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0157,audio_0157.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0158,audio_0158.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0159,audio_0159.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0160,audio_0160.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0161,audio_0161.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0162,audio_0162.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0163,audio_0163.wav,0,0,0,0,1,0,0,0,0,0,0
audio_0164,audio_0164.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0165,audio_0165.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0166,audio_0166.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0167,audio_0167.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0168,audio_0168.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0169,audio_0169.wav,0,0,0,0,1,0,0,0,0,0,0
audio_0170,audio_0170.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0171,audio_0171.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0172,audio_0172.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0173,audio_0173.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0174,audio_0174.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0175,audio_0175.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0176,audio_0176.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0177,audio_0177.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0178,audio_0178.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0179,audio_0179.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0180,audio_0180.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0181,audio_0181.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0182,audio_0182.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0183,audio_0183.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0184,audio_0184.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0185,audio_0185.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0186,audio_0186.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0187,audio_0187.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0188,audio_0188.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0189,audio_0189.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0190,audio_0190.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0191,audio_0191.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0192,audio_0192.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0193,audio_0193.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0194,audio_0194.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0195,audio_0195.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0196,audio_0196.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0197,audio_0197.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0198,audio_0198.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0199,audio_0199.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0200,audio_0200.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0201,audio_0201.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0202,audio_0202.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0203,audio_0203.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0204,audio_0204.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0205,audio_0205.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0206,audio_0206.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0207,audio_0207.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0208,audio_0208.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0209,audio_0209.wav,0,0,1,0,0,0,0,0,0,0,0
audio_0210,audio_0210.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0211,audio_0211.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0212,audio_0212.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0213,audio_0213.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0214,audio_0214.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0215,audio_0215.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0216,audio_0216.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0217,audio_0217.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0218,audio_0218.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0219,audio_0219.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0220,audio_0220.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0221,audio_0221.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0222,audio_0222.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0223,audio_0223.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0224,audio_0224.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0225,audio_0225.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0226,audio_0226.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0227,audio_0227.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0228,audio_0228.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0229,audio_0229.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0230,audio_0230.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0231,audio_0231.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0232,audio_0232.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0233,audio_0233.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0234,audio_0234.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0235,audio_0235.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0236,audio_0236.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0237,audio_0237.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0238,audio_0238.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0239,audio_0239.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0240,audio_0240.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0241,audio_0241.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0242,audio_0242.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0243,audio_0243.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0244,audio_0244.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0245,audio_0245.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0246,audio_0246.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0247,audio_0247.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0248,audio_0248.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0249,audio_0249.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0250,audio_0250.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0251,audio_0251.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0252,audio_0252.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0253,audio_0253.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0254,audio_0254.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0255,audio_0255.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0256,audio_0256.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0257,audio_0257.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0258,audio_0258.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0259,audio_0259.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0260,audio_0260.wav,0,0,0,0,1,0,0,0,0,0,0
audio_0261,audio_0261.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0262,audio_0262.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0263,audio_0263.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0264,audio_0264.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0265,audio_0265.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0266,audio_0266.wav,0,0,1,0,0,0,0,0,0,0,0
audio_0267,audio_0267.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0268,audio_0268.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0269,audio_0269.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0270,audio_0270.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0271,audio_0271.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0272,audio_0272.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0273,audio_0273.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0274,audio_0274.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0275,audio_0275.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0276,audio_0276.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0277,audio_0277.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0278,audio_0278.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0279,audio_0279.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0280,audio_0280.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0281,audio_0281.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0282,audio_0282.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0283,audio_0283.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0284,audio_0284.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0285,audio_0285.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0286,audio_0286.wav,0,0,0,0,0,0,1,0,0,0,0
audio_0287,audio_0287.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0288,audio_0288.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0289,audio_0289.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0290,audio_0290.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0291,audio_0291.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0292,audio_0292.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0293,audio_0293.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0294,audio_0294.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0295,audio_0295.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0296,audio_0296.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0297,audio_0297.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0298,audio_0298.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0299,audio_0299.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0300,audio_0300.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0301,audio_0301.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0302,audio_0302.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0303,audio_0303.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0304,audio_0304.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0305,audio_0305.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0306,audio_0306.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0307,audio_0307.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0308,audio_0308.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0309,audio_0309.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0310,audio_0310.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0311,audio_0311.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0312,audio_0312.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0313,audio_0313.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0314,audio_0314.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0315,audio_0315.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0316,audio_0316.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0317,audio_0317.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0318,audio_0318.wav,0,0,0,0,1,0,0,0,0,0,0
audio_0319,audio_0319.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0320,audio_0320.wav,0,0,0,1,0,0,0,0,0,0,0
audio_0321,audio_0321.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0322,audio_0322.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0323,audio_0323.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0324,audio_0324.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0325,audio_0325.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0326,audio_0326.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0327,audio_0327.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0328,audio_0328.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0329,audio_0329.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0330,audio_0330.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0331,audio_0331.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0332,audio_0332.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0333,audio_0333.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0334,audio_0334.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0335,audio_0335.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0336,audio_0336.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0337,audio_0337.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0338,audio_0338.wav,0,0,0,0,1,0,0,0,0,0,0
audio_0339,audio_0339.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0340,audio_0340.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0341,audio_0341.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0342,audio_0342.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0343,audio_0343.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0344,audio_0344.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0345,audio_0345.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0346,audio_0346.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0347,audio_0347.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0348,audio_0348.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0349,audio_0349.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0350,audio_0350.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0351,audio_0351.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0352,audio_0352.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0353,audio_0353.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0354,audio_0354.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0355,audio_0355.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0356,audio_0356.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0357,audio_0357.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0358,audio_0358.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0359,audio_0359.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0360,audio_0360.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0361,audio_0361.wav,0,0,0,0,0,1,0,0,0,0,0
audio_0362,audio_0362.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0363,audio_0363.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0364,audio_0364.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0365,audio_0365.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0366,audio_0366.wav,1,0,0,0,0,0,0,0,0,0,0
audio_0367,audio_0367.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0368,audio_0368.wav,0,0,0,0,0,0,0,0,1,0,0
audio_0369,audio_0369.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0370,audio_0370.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0371,audio_0371.wav,0,1,0,0,0,0,0,0,0,0,0
audio_0372,audio_0372.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0373,audio_0373.wav,0,0,0,0,0,0,1,0,0,0,0
audio_0374,audio_0374.wav,0,0,0,0,0,0,0,0,0,0,1
audio_0375,audio_0375.wav,0,1,0,0,0,0,0,0,0,0,0
