unit_id,target_failure,rul_hours
UNIT_0033,1,12.0
UNIT_0022,0,122.0
UNIT_0039,0,36.0
UNIT_0019,0,99.0
UNIT_0049,1,9.0
UNIT_0021,0,41.0
UNIT_0017,0,187.0
UNIT_0024,0,128.0
UNIT_0037,0,87.0
UNIT_0047,0,74.0
UNIT_0011,1,15.0
UNIT_0006,0,156.0
UNIT_0029,0,127.0
UNIT_0042,0,163.0
UNIT_0025,0,167.0
UNIT_0018,0,113.0
UNIT_0007,1,0.0
UNIT_0020,0,55.0
UNIT_0046,1,1.0
UNIT_0048,0,220.0
UNIT_0044,0,99.0
UNIT_0004,0,52.0
UNIT_0030,0,133.0
UNIT_0039,1,19.0
UNIT_0008,0,119.0
UNIT_0038,0,92.0
UNIT_0026,0,42.0
UNIT_0037,0,169.0
UNIT_0001,0,103.0
UNIT_0045,0,100.0
UNIT_0050,0,177.0
UNIT_0048,0,50.0
UNIT_0034,0,53.0
UNIT_0017,0,79.0
UNIT_0011,0,142.0
UNIT_0014,0,86.0
UNIT_0022,0,141.0
UNIT_0029,0,130.0
UNIT_0037,0,146.0
UNIT_0043,0,108.0
UNIT_0011,0,228.0
UNIT_0041,0,73.0
UNIT_0033,0,61.0
UNIT_0040,0,183.0
UNIT_0031,0,57.0
UNIT_0007,0,68.0
UNIT_0040,0,130.0
UNIT_0036,0,52.0
UNIT_0007,0,154.0
UNIT_0034,0,116.0
UNIT_0017,0,180.0
UNIT_0001,0,83.0
UNIT_0029,0,157.0
UNIT_0044,0,155.0
UNIT_0033,1,8.0
UNIT_0005,1,25.0
UNIT_0028,0,70.0
UNIT_0048,0,84.0
UNIT_0042,0,95.0
UNIT_0045,0,131.0
UNIT_0033,1,16.0
UNIT_0003,0,34.0
UNIT_0035,0,117.0
UNIT_0024,0,66.0
UNIT_0033,0,59.0
UNIT_0039,0,108.0
UNIT_0030,0,191.0
UNIT_0038,0,73.0
UNIT_0021,0,145.0
UNIT_0030,0,46.0
UNIT_0044,0,136.0
UNIT_0033,0,183.0
UNIT_0035,0,161.0
UNIT_0020,0,37.0
UNIT_0040,1,24.0
UNIT_0040,0,72.0
UNIT_0023,1,11.0
UNIT_0008,0,62.0
UNIT_0020,1,27.0
UNIT_0008,0,95.0
UNIT_0010,0,106.0
UNIT_0044,0,119.0
UNIT_0023,0,157.0
UNIT_0020,0,175.0
UNIT_0038,0,133.0
UNIT_0031,0,71.0
UNIT_0025,0,201.0
UNIT_0025,0,83.0
UNIT_0043,0,184.0
UNIT_0023,1,1.0
UNIT_0039,0,89.0
UNIT_0042,0,103.0
UNIT_0008,0,106.0
UNIT_0024,0,106.0
UNIT_0042,0,128.0
UNIT_0035,0,36.0
UNIT_0031,0,216.0
UNIT_0040,0,97.0
UNIT_0017,0,39.0
UNIT_0002,0,90.0
UNIT_0009,0,119.0
UNIT_0045,0,63.0
UNIT_0025,0,190.0
UNIT_0028,0,92.0
UNIT_0019,0,61.0
UNIT_0046,0,182.0
UNIT_0011,0,121.0
UNIT_0017,0,168.0
UNIT_0027,1,5.0
UNIT_0025,0,154.0
UNIT_0038,0,113.0
UNIT_0027,0,50.0
UNIT_0038,0,110.0
UNIT_0038,0,95.0
UNIT_0047,0,164.0
UNIT_0024,1,28.0
UNIT_0010,0,110.0
UNIT_0013,0,93.0
UNIT_0038,0,121.0
UNIT_0015,0,169.0
UNIT_0006,0,182.0
UNIT_0015,0,185.0
UNIT_0042,0,91.0
UNIT_0038,0,126.0
UNIT_0017,0,98.0
UNIT_0004,0,51.0
UNIT_0008,0,137.0
UNIT_0031,0,44.0
UNIT_0032,0,145.0
UNIT_0012,0,87.0
UNIT_0017,0,268.0
UNIT_0006,0,50.0
UNIT_0035,0,153.0
UNIT_0045,1,0.0
UNIT_0019,0,96.0
UNIT_0022,0,166.0
UNIT_0018,0,180.0
UNIT_0034,0,185.0
UNIT_0043,0,62.0
UNIT_0010,1,11.0
UNIT_0016,0,66.0
UNIT_0027,0,61.0
UNIT_0031,0,222.0
UNIT_0030,0,48.0
UNIT_0010,0,90.0
UNIT_0008,0,134.0
UNIT_0001,0,177.0
UNIT_0013,0,35.0
UNIT_0036,0,129.0
UNIT_0045,0,74.0
UNIT_0046,0,201.0
UNIT_0024,0,67.0
UNIT_0005,0,31.0
UNIT_0025,0,126.0
UNIT_0037,0,160.0
UNIT_0014,1,4.0
UNIT_0002,0,145.0
UNIT_0037,0,111.0
UNIT_0022,0,197.0
UNIT_0015,1,16.0
UNIT_0037,0,112.0
UNIT_0051,0,212.0
UNIT_0046,0,186.0
UNIT_0002,0,215.0
UNIT_0021,1,25.0
UNIT_0046,0,155.0
UNIT_0044,0,189.0
UNIT_0030,0,83.0
UNIT_0007,0,64.0
UNIT_0021,0,172.0
UNIT_0038,1,24.0
UNIT_0049,0,67.0
UNIT_0043,0,134.0
UNIT_0039,0,47.0
UNIT_0003,0,157.0
UNIT_0047,0,109.0
UNIT_0048,0,81.0
UNIT_0015,1,0.0
UNIT_0023,0,101.0
UNIT_0002,0,111.0
UNIT_0020,0,109.0
UNIT_0042,0,63.0
UNIT_0023,0,102.0
UNIT_0031,0,150.0
UNIT_0013,0,44.0
UNIT_0005,0,89.0
UNIT_0030,0,78.0
UNIT_0025,0,59.0
UNIT_0032,0,83.0
UNIT_0050,0,175.0
UNIT_0008,1,21.0
UNIT_0004,0,173.0
UNIT_0028,0,57.0
UNIT_0029,1,26.0
UNIT_0026,0,152.0
UNIT_0004,0,113.0
UNIT_0017,0,54.0
UNIT_0003,0,89.0
UNIT_0047,0,77.0
UNIT_0015,0,173.0
UNIT_0041,0,130.0
UNIT_0007,1,4.0
UNIT_0001,0,90.0
UNIT_0015,0,88.0
UNIT_0037,0,114.0
UNIT_0002,0,175.0
UNIT_0001,0,115.0
UNIT_0034,0,52.0
UNIT_0044,1,7.0
UNIT_0006,0,95.0
UNIT_0040,0,83.0
UNIT_0042,1,23.0
UNIT_0046,0,106.0
UNIT_0043,0,31.0
UNIT_0009,0,138.0
UNIT_0017,0,107.0
UNIT_0003,0,174.0
UNIT_0011,0,186.0
UNIT_0002,0,132.0
UNIT_0028,0,148.0
UNIT_0043,0,83.0
UNIT_0007,0,90.0
UNIT_0025,1,9.0
UNIT_0034,0,41.0
UNIT_0045,0,88.0
UNIT_0025,0,180.0
UNIT_0032,0,82.0
UNIT_0013,0,99.0
UNIT_0001,0,188.0
UNIT_0011,0,162.0
UNIT_0024,0,52.0
UNIT_0005,0,259.0
UNIT_0035,1,10.0
UNIT_0030,0,101.0
UNIT_0003,0,33.0
UNIT_0002,0,188.0
UNIT_0010,0,117.0
UNIT_0004,0,178.0
UNIT_0046,0,129.0
UNIT_0043,0,180.0
UNIT_0049,1,14.0
UNIT_0008,0,81.0
UNIT_0026,0,138.0
UNIT_0037,0,110.0
UNIT_0012,1,23.0
UNIT_0011,0,160.0
UNIT_0035,1,19.0
UNIT_0033,0,115.0
UNIT_0031,1,7.0
UNIT_0036,0,113.0
UNIT_0038,0,89.0
UNIT_0005,1,8.0
UNIT_0002,1,28.0
UNIT_0032,0,122.0
UNIT_0051,0,155.0
UNIT_0001,0,56.0
UNIT_0009,0,128.0
UNIT_0017,0,176.0
UNIT_0015,0,189.0
UNIT_0043,0,140.0
UNIT_0038,1,17.0
UNIT_0031,0,120.0
UNIT_0022,0,60.0
UNIT_0025,0,56.0
UNIT_0026,0,103.0
UNIT_0020,0,87.0
UNIT_0035,0,69.0
UNIT_0034,1,4.0
UNIT_0026,0,102.0
UNIT_0003,0,125.0
UNIT_0024,0,49.0
UNIT_0020,0,129.0
UNIT_0020,0,83.0
UNIT_0016,0,100.0
UNIT_0036,0,35.0
UNIT_0002,0,148.0
UNIT_0025,0,152.0
UNIT_0015,0,62.0
UNIT_0040,0,141.0
UNIT_0008,0,115.0
UNIT_0051,0,202.0
UNIT_0018,0,178.0
UNIT_0046,1,12.0
UNIT_0041,0,40.0
UNIT_0003,0,67.0
UNIT_0003,1,10.0
UNIT_0047,0,162.0
UNIT_0041,1,26.0
UNIT_0018,1,4.0
UNIT_0046,1,11.0
UNIT_0025,1,27.0
UNIT_0041,0,159.0
UNIT_0048,0,133.0
UNIT_0021,0,152.0
UNIT_0046,0,216.0
UNIT_0045,0,95.0
UNIT_0009,0,118.0
UNIT_0013,0,122.0
UNIT_0043,0,89.0
UNIT_0011,0,59.0
UNIT_0021,0,177.0
UNIT_0046,0,223.0
UNIT_0036,0,73.0
UNIT_0026,0,74.0
UNIT_0045,0,51.0
UNIT_0045,0,124.0
UNIT_0024,0,111.0
UNIT_0051,0,149.0
UNIT_0036,1,1.0
UNIT_0015,0,182.0
UNIT_0050,0,37.0
UNIT_0050,1,15.0
UNIT_0010,0,60.0
UNIT_0021,0,60.0
UNIT_0030,0,164.0
UNIT_0011,0,226.0
UNIT_0001,0,47.0
UNIT_0025,0,146.0
UNIT_0042,0,78.0
UNIT_0046,1,20.0
UNIT_0024,0,104.0
UNIT_0046,0,117.0
UNIT_0040,0,76.0
UNIT_0050,0,80.0
UNIT_0047,0,50.0
UNIT_0031,0,160.0
UNIT_0048,1,20.0
UNIT_0032,1,2.0
UNIT_0017,0,263.0
UNIT_0038,0,45.0
UNIT_0015,0,34.0
UNIT_0007,0,207.0
UNIT_0022,0,50.0
UNIT_0028,0,124.0
UNIT_0026,0,58.0
UNIT_0022,0,53.0
UNIT_0009,0,183.0
UNIT_0009,0,155.0
UNIT_0034,0,156.0
UNIT_0034,0,160.0
UNIT_0050,0,48.0
UNIT_0020,1,28.0
UNIT_0048,0,102.0
UNIT_0026,0,185.0
UNIT_0001,0,191.0
UNIT_0009,0,49.0
UNIT_0003,0,114.0
UNIT_0002,0,129.0
UNIT_0035,0,81.0
UNIT_0050,0,143.0
UNIT_0012,1,22.0
UNIT_0017,0,116.0
UNIT_0002,1,21.0
UNIT_0015,0,72.0
UNIT_0037,0,54.0
UNIT_0049,0,195.0
UNIT_0041,0,169.0
UNIT_0034,0,181.0
UNIT_0012,1,11.0
UNIT_0001,0,60.0
UNIT_0018,0,71.0
UNIT_0007,0,190.0
UNIT_0031,1,20.0
UNIT_0024,1,23.0
UNIT_0023,1,20.0
UNIT_0028,0,85.0
UNIT_0007,0,149.0
UNIT_0020,0,54.0
UNIT_0003,1,2.0
UNIT_0042,0,100.0
UNIT_0020,0,69.0
UNIT_0003,0,65.0
UNIT_0045,0,86.0
UNIT_0016,0,181.0
UNIT_0015,0,48.0
UNIT_0019,0,46.0
UNIT_0029,0,57.0
UNIT_0011,0,191.0
UNIT_0011,0,230.0
UNIT_0036,0,98.0
UNIT_0016,0,199.0
UNIT_0047,0,31.0
UNIT_0047,0,168.0
UNIT_0014,0,119.0
UNIT_0026,0,87.0
UNIT_0030,0,153.0
UNIT_0009,0,181.0
UNIT_0002,0,213.0
UNIT_0026,0,164.0
UNIT_0043,0,177.0
UNIT_0020,0,230.0
UNIT_0004,0,85.0
UNIT_0037,0,95.0
UNIT_0043,1,5.0
UNIT_0016,0,47.0
UNIT_0021,1,24.0
UNIT_0021,1,0.0
UNIT_0002,0,162.0
UNIT_0042,0,168.0
UNIT_0009,0,62.0
UNIT_0012,0,61.0
UNIT_0050,0,35.0
UNIT_0049,0,136.0
UNIT_0005,0,37.0
UNIT_0043,0,86.0
UNIT_0038,0,176.0
UNIT_0005,0,44.0
UNIT_0001,0,88.0
UNIT_0029,0,44.0
UNIT_0007,0,144.0
UNIT_0008,0,54.0
UNIT_0026,1,24.0
UNIT_0006,0,154.0
UNIT_0037,0,165.0
UNIT_0008,0,144.0
UNIT_0005,1,28.0
UNIT_0031,0,135.0
UNIT_0045,0,120.0
UNIT_0043,0,103.0
UNIT_0040,1,14.0
UNIT_0031,0,136.0
UNIT_0045,1,21.0
UNIT_0045,0,37.0
UNIT_0008,1,20.0
UNIT_0024,0,145.0
UNIT_0017,0,193.0
UNIT_0018,0,129.0
UNIT_0008,1,29.0
UNIT_0001,0,183.0
UNIT_0031,0,158.0
UNIT_0033,0,95.0
UNIT_0020,0,44.0
UNIT_0045,0,65.0
UNIT_0031,0,175.0
UNIT_0003,0,90.0
UNIT_0047,0,103.0
UNIT_0009,0,110.0
UNIT_0044,0,135.0
UNIT_0025,0,209.0
UNIT_0008,0,113.0
UNIT_0041,0,110.0
UNIT_0049,0,163.0
UNIT_0014,0,65.0
UNIT_0028,0,162.0
UNIT_0017,0,51.0
UNIT_0045,0,111.0
UNIT_0006,0,148.0
UNIT_0033,0,64.0
UNIT_0047,0,176.0
UNIT_0039,1,17.0
UNIT_0043,0,148.0
UNIT_0022,1,24.0
UNIT_0047,0,130.0
UNIT_0033,0,129.0
UNIT_0030,0,160.0
UNIT_0006,0,113.0
UNIT_0038,0,65.0
UNIT_0044,0,116.0
UNIT_0005,0,155.0
UNIT_0038,0,55.0
UNIT_0001,0,155.0
UNIT_0039,0,121.0
UNIT_0040,0,181.0
UNIT_0022,0,126.0
UNIT_0031,0,59.0
UNIT_0040,0,81.0
UNIT_0049,0,123.0
UNIT_0042,0,118.0
UNIT_0035,1,20.0
UNIT_0029,0,74.0
UNIT_0003,0,80.0
UNIT_0050,0,75.0
UNIT_0020,0,65.0
UNIT_0040,0,179.0
UNIT_0020,1,16.0
UNIT_0016,0,174.0
UNIT_0025,0,219.0
UNIT_0051,0,146.0
UNIT_0038,0,38.0
UNIT_0009,0,80.0
UNIT_0047,0,116.0
UNIT_0025,0,218.0
UNIT_0011,0,88.0
UNIT_0007,0,232.0
UNIT_0014,0,117.0
UNIT_0018,0,89.0
UNIT_0043,0,161.0
UNIT_0030,0,58.0
UNIT_0003,1,20.0
UNIT_0001,0,144.0
UNIT_0013,0,106.0
UNIT_0010,0,170.0
UNIT_0011,0,207.0
UNIT_0025,0,60.0
UNIT_0017,0,246.0
UNIT_0015,0,76.0
UNIT_0045,1,30.0
UNIT_0047,0,88.0
UNIT_0007,0,202.0
UNIT_0030,0,188.0
UNIT_0048,0,95.0
UNIT_0016,0,53.0
UNIT_0032,0,111.0
UNIT_0011,0,124.0
UNIT_0031,0,193.0
UNIT_0006,0,128.0
UNIT_0046,0,251.0
UNIT_0016,1,25.0
UNIT_0015,0,122.0
UNIT_0017,0,184.0
UNIT_0035,0,48.0
UNIT_0005,0,150.0
UNIT_0044,0,62.0
UNIT_0004,0,104.0
UNIT_0039,0,123.0
UNIT_0017,0,266.0
UNIT_0025,0,211.0
UNIT_0048,0,155.0
UNIT_0023,0,60.0
UNIT_0044,1,18.0
UNIT_0006,0,86.0
UNIT_0022,0,167.0
UNIT_0031,0,140.0
UNIT_0013,0,94.0
UNIT_0013,0,88.0
UNIT_0045,0,80.0
UNIT_0037,0,33.0
UNIT_0017,0,201.0
UNIT_0037,1,14.0
UNIT_0050,0,51.0
UNIT_0028,1,24.0
UNIT_0050,0,95.0
UNIT_0029,1,6.0
UNIT_0044,0,118.0
UNIT_0035,0,137.0
UNIT_0007,0,46.0
UNIT_0025,1,11.0
UNIT_0039,1,1.0
UNIT_0047,0,179.0
UNIT_0041,1,18.0
UNIT_0012,0,153.0
UNIT_0003,0,71.0
UNIT_0017,0,61.0
UNIT_0040,0,172.0
UNIT_0046,0,104.0
UNIT_0005,0,265.0
UNIT_0002,0,143.0
UNIT_0034,0,172.0
UNIT_0046,0,78.0
UNIT_0038,1,16.0
UNIT_0014,1,20.0
UNIT_0024,1,7.0
UNIT_0017,1,30.0
UNIT_0019,0,91.0
UNIT_0037,0,53.0
UNIT_0030,0,162.0
UNIT_0001,0,168.0
UNIT_0007,0,109.0
UNIT_0008,1,28.0
UNIT_0011,0,65.0
UNIT_0047,0,201.0
UNIT_0048,0,89.0
UNIT_0002,0,97.0
UNIT_0030,0,172.0
UNIT_0028,0,79.0
UNIT_0048,0,187.0
UNIT_0008,0,94.0
UNIT_0004,0,57.0
UNIT_0030,1,3.0
UNIT_0045,0,122.0
UNIT_0022,0,89.0
UNIT_0028,1,23.0
UNIT_0048,0,183.0
UNIT_0029,0,144.0
UNIT_0031,1,4.0
UNIT_0011,0,89.0
UNIT_0051,0,128.0
UNIT_0039,0,59.0
UNIT_0006,0,120.0
UNIT_0031,0,219.0
UNIT_0025,1,19.0
UNIT_0012,1,29.0
UNIT_0020,0,45.0
UNIT_0028,0,108.0
UNIT_0028,1,2.0
UNIT_0043,0,84.0
UNIT_0030,0,114.0
UNIT_0044,1,24.0
UNIT_0040,0,98.0
UNIT_0030,1,18.0
UNIT_0006,0,123.0
UNIT_0045,0,32.0
UNIT_0042,1,2.0
UNIT_0014,0,70.0
UNIT_0051,0,157.0
UNIT_0045,0,91.0
UNIT_0033,1,3.0
UNIT_0014,0,68.0
UNIT_0039,0,102.0
UNIT_0011,0,115.0
UNIT_0011,0,136.0
UNIT_0031,0,199.0
UNIT_0004,0,64.0
UNIT_0005,0,183.0
UNIT_0031,1,18.0
UNIT_0012,0,133.0
UNIT_0036,0,148.0
UNIT_0047,0,149.0
UNIT_0006,0,147.0
UNIT_0042,0,130.0
UNIT_0030,0,181.0
UNIT_0024,1,0.0
UNIT_0017,0,271.0
UNIT_0046,0,89.0
UNIT_0008,1,10.0
UNIT_0012,0,53.0
UNIT_0018,0,69.0
UNIT_0043,0,168.0
UNIT_0002,0,192.0
UNIT_0008,0,104.0
UNIT_0034,0,175.0
UNIT_0043,0,166.0
UNIT_0037,1,0.0
UNIT_0011,0,123.0
UNIT_0038,0,94.0
UNIT_0043,0,79.0
UNIT_0009,1,22.0
UNIT_0025,0,47.0
UNIT_0031,0,100.0
UNIT_0003,0,94.0
UNIT_0002,0,187.0
UNIT_0023,1,16.0
UNIT_0040,0,117.0
UNIT_0032,0,62.0
UNIT_0001,1,22.0
UNIT_0002,0,211.0
UNIT_0023,0,94.0
UNIT_0036,0,68.0
UNIT_0017,0,225.0
UNIT_0043,0,165.0
UNIT_0002,0,163.0
UNIT_0034,0,78.0
UNIT_0048,1,0.0
UNIT_0020,0,100.0
UNIT_0002,0,233.0
UNIT_0002,0,226.0
UNIT_0005,1,4.0
UNIT_0024,0,78.0
UNIT_0009,0,200.0
UNIT_0001,0,141.0
UNIT_0009,0,78.0
UNIT_0041,0,145.0
UNIT_0017,0,197.0
UNIT_0032,1,1.0
UNIT_0021,0,49.0
UNIT_0005,0,243.0
UNIT_0006,0,49.0
UNIT_0046,0,169.0
UNIT_0030,0,135.0
UNIT_0029,0,90.0
UNIT_0042,0,134.0
UNIT_0010,0,37.0
UNIT_0026,0,180.0
UNIT_0002,0,230.0
UNIT_0033,0,50.0
UNIT_0007,0,223.0
UNIT_0036,0,128.0
UNIT_0010,1,25.0
UNIT_0008,0,143.0
UNIT_0009,0,187.0
UNIT_0043,0,60.0
UNIT_0035,0,47.0
UNIT_0022,0,169.0
UNIT_0012,0,125.0
UNIT_0015,0,50.0
UNIT_0028,0,126.0
UNIT_0018,0,72.0
UNIT_0042,0,46.0
UNIT_0027,0,133.0
UNIT_0050,0,100.0
UNIT_0002,0,31.0
UNIT_0041,0,147.0
UNIT_0045,0,66.0
UNIT_0041,0,213.0
UNIT_0009,0,145.0
UNIT_0035,0,179.0
UNIT_0023,1,28.0
UNIT_0019,0,64.0
UNIT_0008,0,57.0
UNIT_0016,0,117.0
UNIT_0004,0,163.0
UNIT_0021,0,192.0
UNIT_0022,0,87.0
UNIT_0002,1,17.0
UNIT_0029,1,28.0
UNIT_0039,0,115.0
UNIT_0022,0,62.0
UNIT_0049,1,1.0
UNIT_0002,0,160.0
UNIT_0006,0,158.0
UNIT_0025,1,15.0
UNIT_0007,0,169.0
UNIT_0034,0,183.0
UNIT_0007,0,61.0
UNIT_0032,1,3.0
UNIT_0002,0,102.0
UNIT_0002,0,68.0
UNIT_0008,0,52.0
UNIT_0016,0,153.0
UNIT_0008,0,89.0
UNIT_0028,1,20.0
UNIT_0044,0,104.0
UNIT_0030,0,184.0
UNIT_0026,1,2.0
UNIT_0036,0,59.0
UNIT_0046,0,153.0
UNIT_0038,1,21.0
UNIT_0049,0,95.0
UNIT_0047,0,47.0
UNIT_0008,0,40.0
UNIT_0011,1,17.0
UNIT_0044,0,169.0
UNIT_0002,0,204.0
UNIT_0012,0,72.0
UNIT_0028,0,140.0
UNIT_0024,0,108.0
UNIT_0010,1,28.0
UNIT_0038,1,9.0
UNIT_0022,0,150.0
UNIT_0042,0,99.0
UNIT_0045,0,134.0
UNIT_0043,0,205.0
UNIT_0012,0,128.0
UNIT_0045,1,23.0
UNIT_0011,0,139.0
UNIT_0018,1,8.0
UNIT_0050,0,117.0
UNIT_0051,0,132.0
UNIT_0051,0,156.0
UNIT_0038,0,186.0
UNIT_0007,0,179.0
UNIT_0016,0,203.0
UNIT_0019,1,12.0
UNIT_0034,0,121.0
