image_id,image_path,ship_present,ship_count,ship_confidence
148,sat_img_00148.jpg,0,0,0.0
149,sat_img_00149.jpg,1,1,1.0
150,sat_img_00150.jpg,0,0,0.0
151,sat_img_00151.jpg,0,0,0.0
152,sat_img_00152.jpg,1,1,1.0
153,sat_img_00153.jpg,1,1,1.0
154,sat_img_00154.jpg,1,1,1.0
155,sat_img_00155.jpg,1,1,1.0
156,sat_img_00156.jpg,1,1,1.0
157,sat_img_00157.jpg,0,0,0.0
158,sat_img_00158.jpg,1,1,1.0
159,sat_img_00159.jpg,0,0,0.0
160,sat_img_00160.jpg,0,0,0.0
161,sat_img_00161.jpg,1,1,1.0
162,sat_img_00162.jpg,1,1,1.0
163,sat_img_00163.jpg,0,0,0.0
164,sat_img_00164.jpg,1,1,1.0
165,sat_img_00165.jpg,0,0,0.0
166,sat_img_00166.jpg,1,1,1.0
167,sat_img_00167.jpg,0,0,0.0
168,sat_img_00168.jpg,1,1,1.0
169,sat_img_00169.jpg,0,0,0.0
170,sat_img_00170.jpg,0,0,0.0
171,sat_img_00171.jpg,0,0,0.0
172,sat_img_00172.jpg,1,1,1.0
173,sat_img_00173.jpg,0,0,0.0
174,sat_img_00174.jpg,0,0,0.0
175,sat_img_00175.jpg,0,0,0.0
176,sat_img_00176.jpg,1,1,1.0
177,sat_img_00177.jpg,0,0,0.0
178,sat_img_00178.jpg,0,0,0.0
179,sat_img_00179.jpg,0,0,0.0
180,sat_img_00180.jpg,0,0,0.0
181,sat_img_00181.jpg,0,0,0.0
182,sat_img_00182.jpg,0,0,0.0
183,sat_img_00183.jpg,0,0,0.0
184,sat_img_00184.jpg,0,0,0.0
185,sat_img_00185.jpg,0,0,0.0
186,sat_img_00186.jpg,0,0,0.0
187,sat_img_00187.jpg,0,0,0.0
188,sat_img_00188.jpg,0,0,0.0
189,sat_img_00189.jpg,0,0,0.0
190,sat_img_00190.jpg,1,1,1.0
191,sat_img_00191.jpg,1,1,1.0
192,sat_img_00192.jpg,1,1,1.0
193,sat_img_00193.jpg,1,1,1.0
194,sat_img_00194.jpg,1,1,1.0
195,sat_img_00195.jpg,0,0,0.0
196,sat_img_00196.jpg,1,1,1.0
197,sat_img_00197.jpg,0,0,0.0
198,sat_img_00198.jpg,0,0,0.0
199,sat_img_00199.jpg,0,0,0.0
200,sat_img_00200.jpg,0,0,0.0
201,sat_img_00201.jpg,1,1,1.0
202,sat_img_00202.jpg,0,0,0.0
203,sat_img_00203.jpg,0,0,0.0
204,sat_img_00204.jpg,1,1,1.0
205,sat_img_00205.jpg,1,1,1.0
206,sat_img_00206.jpg,0,0,0.0
207,sat_img_00207.jpg,0,0,0.0
208,sat_img_00208.jpg,0,0,0.0
209,sat_img_00209.jpg,1,1,1.0
210,sat_img_00210.jpg,1,1,1.0
211,sat_img_00211.jpg,0,0,0.0
212,sat_img_00212.jpg,1,1,1.0
213,sat_img_00213.jpg,1,1,1.0
214,sat_img_00214.jpg,0,0,0.0
215,sat_img_00215.jpg,0,0,0.0
216,sat_img_00216.jpg,0,0,0.0
217,sat_img_00217.jpg,0,0,0.0
218,sat_img_00218.jpg,1,1,1.0
219,sat_img_00219.jpg,0,0,0.0
220,sat_img_00220.jpg,1,1,1.0
221,sat_img_00221.jpg,0,0,0.0
222,sat_img_00222.jpg,1,1,1.0
223,sat_img_00223.jpg,1,1,1.0
224,sat_img_00224.jpg,0,0,0.0
225,sat_img_00225.jpg,0,0,0.0
226,sat_img_00226.jpg,0,0,0.0
227,sat_img_00227.jpg,1,1,1.0
228,sat_img_00228.jpg,0,0,0.0
229,sat_img_00229.jpg,0,0,0.0
230,sat_img_00230.jpg,0,0,0.0
231,sat_img_00231.jpg,0,0,0.0
232,sat_img_00232.jpg,0,0,0.0
233,sat_img_00233.jpg,0,0,0.0
234,sat_img_00234.jpg,0,0,0.0
235,sat_img_00235.jpg,1,1,1.0
236,sat_img_00236.jpg,0,0,0.0
237,sat_img_00237.jpg,1,1,1.0
238,sat_img_00238.jpg,1,1,1.0
239,sat_img_00239.jpg,1,1,1.0
240,sat_img_00240.jpg,1,1,1.0
241,sat_img_00241.jpg,0,0,0.0
242,sat_img_00242.jpg,1,1,1.0
243,sat_img_00243.jpg,1,1,1.0
244,sat_img_00244.jpg,0,0,0.0
245,sat_img_00245.jpg,1,1,1.0
246,sat_img_00246.jpg,0,0,0.0
247,sat_img_00247.jpg,1,1,1.0
248,sat_img_00248.jpg,0,0,0.0
249,sat_img_00249.jpg,0,0,0.0
250,sat_img_00250.jpg,1,1,1.0
251,sat_img_00251.jpg,1,1,1.0
252,sat_img_00252.jpg,1,1,1.0
253,sat_img_00253.jpg,0,0,0.0
254,sat_img_00254.jpg,0,0,0.0
255,sat_img_00255.jpg,0,0,0.0
256,sat_img_00256.jpg,1,1,1.0
257,sat_img_00257.jpg,0,0,0.0
258,sat_img_00258.jpg,0,0,0.0
259,sat_img_00259.jpg,1,1,1.0
260,sat_img_00260.jpg,0,0,0.0
261,sat_img_00261.jpg,1,1,1.0
262,sat_img_00262.jpg,1,1,1.0
263,sat_img_00263.jpg,1,1,1.0
264,sat_img_00264.jpg,0,0,0.0
265,sat_img_00265.jpg,0,0,0.0
266,sat_img_00266.jpg,0,0,0.0
267,sat_img_00267.jpg,1,1,1.0
268,sat_img_00268.jpg,0,0,0.0
269,sat_img_00269.jpg,1,1,1.0
270,sat_img_00270.jpg,1,1,1.0
271,sat_img_00271.jpg,1,1,1.0
272,sat_img_00272.jpg,0,0,0.0
273,sat_img_00273.jpg,1,1,1.0
274,sat_img_00274.jpg,1,1,1.0
275,sat_img_00275.jpg,1,1,1.0
276,sat_img_00276.jpg,1,1,1.0
277,sat_img_00277.jpg,1,1,1.0
278,sat_img_00278.jpg,1,1,1.0
279,sat_img_00279.jpg,1,1,1.0
280,sat_img_00280.jpg,0,0,0.0
281,sat_img_00281.jpg,1,1,1.0
282,sat_img_00282.jpg,1,1,1.0
283,sat_img_00283.jpg,1,1,1.0
284,sat_img_00284.jpg,0,0,0.0
285,sat_img_00285.jpg,0,0,0.0
286,sat_img_00286.jpg,1,1,1.0
287,sat_img_00287.jpg,0,0,0.0
288,sat_img_00288.jpg,1,1,1.0
289,sat_img_00289.jpg,0,0,0.0
290,sat_img_00290.jpg,1,1,1.0
291,sat_img_00291.jpg,0,0,0.0
292,sat_img_00292.jpg,1,1,1.0
293,sat_img_00293.jpg,1,1,1.0
294,sat_img_00294.jpg,1,1,1.0
295,sat_img_00295.jpg,1,1,1.0
296,sat_img_00296.jpg,1,1,1.0
297,sat_img_00297.jpg,0,0,0.0
298,sat_img_00298.jpg,1,1,1.0
299,sat_img_00299.jpg,0,0,0.0
300,sat_img_00300.jpg,1,1,1.0
301,sat_img_00301.jpg,0,0,0.0
302,sat_img_00302.jpg,1,1,1.0
303,sat_img_00303.jpg,0,0,0.0
304,sat_img_00304.jpg,1,1,1.0
305,sat_img_00305.jpg,1,1,1.0
306,sat_img_00306.jpg,0,0,0.0
307,sat_img_00307.jpg,0,0,0.0
308,sat_img_00308.jpg,1,1,1.0
309,sat_img_00309.jpg,0,0,0.0
310,sat_img_00310.jpg,0,0,0.0
311,sat_img_00311.jpg,0,0,0.0
312,sat_img_00312.jpg,1,1,1.0
313,sat_img_00313.jpg,1,1,1.0
314,sat_img_00314.jpg,1,1,1.0
315,sat_img_00315.jpg,0,0,0.0
316,sat_img_00316.jpg,1,1,1.0
317,sat_img_00317.jpg,0,0,0.0
318,sat_img_00318.jpg,1,1,1.0
319,sat_img_00319.jpg,1,1,1.0
320,sat_img_00320.jpg,1,1,1.0
321,sat_img_00321.jpg,1,1,1.0
322,sat_img_00322.jpg,1,1,1.0
323,sat_img_00323.jpg,1,1,1.0
324,sat_img_00324.jpg,1,1,1.0
325,sat_img_00325.jpg,1,1,1.0
326,sat_img_00326.jpg,1,1,1.0
327,sat_img_00327.jpg,0,0,0.0
328,sat_img_00328.jpg,0,0,0.0
329,sat_img_00329.jpg,0,0,0.0
330,sat_img_00330.jpg,1,1,1.0
331,sat_img_00331.jpg,1,1,1.0
332,sat_img_00332.jpg,1,1,1.0
333,sat_img_00333.jpg,0,0,0.0
334,sat_img_00334.jpg,0,0,0.0
335,sat_img_00335.jpg,0,0,0.0
336,sat_img_00336.jpg,0,0,0.0
337,sat_img_00337.jpg,1,1,1.0
338,sat_img_00338.jpg,1,1,1.0
339,sat_img_00339.jpg,1,1,1.0
340,sat_img_00340.jpg,1,1,1.0
341,sat_img_00341.jpg,1,1,1.0
342,sat_img_00342.jpg,0,0,0.0
343,sat_img_00343.jpg,1,1,1.0
344,sat_img_00344.jpg,1,1,1.0
345,sat_img_00345.jpg,1,1,1.0
346,sat_img_00346.jpg,1,1,1.0
347,sat_img_00347.jpg,0,0,0.0
348,sat_img_00348.jpg,1,1,1.0
349,sat_img_00349.jpg,0,0,0.0
350,sat_img_00350.jpg,1,1,1.0
351,sat_img_00351.jpg,0,0,0.0
352,sat_img_00352.jpg,0,0,0.0
353,sat_img_00353.jpg,1,1,1.0
354,sat_img_00354.jpg,1,1,1.0
355,sat_img_00355.jpg,1,1,1.0
356,sat_img_00356.jpg,1,1,1.0
357,sat_img_00357.jpg,1,1,1.0
358,sat_img_00358.jpg,0,0,0.0
359,sat_img_00359.jpg,0,0,0.0
360,sat_img_00360.jpg,0,0,0.0
361,sat_img_00361.jpg,1,1,1.0
362,sat_img_00362.jpg,1,1,1.0
363,sat_img_00363.jpg,1,1,1.0
364,sat_img_00364.jpg,0,0,0.0
365,sat_img_00365.jpg,0,0,0.0
366,sat_img_00366.jpg,1,1,1.0
367,sat_img_00367.jpg,1,1,1.0
368,sat_img_00368.jpg,0,0,0.0
369,sat_img_00369.jpg,0,0,0.0
370,sat_img_00370.jpg,1,1,1.0
371,sat_img_00371.jpg,0,0,0.0
372,sat_img_00372.jpg,0,0,0.0
373,sat_img_00373.jpg,1,1,1.0
374,sat_img_00374.jpg,0,0,0.0
375,sat_img_00375.jpg,0,0,0.0
376,sat_img_00376.jpg,1,1,1.0
377,sat_img_00377.jpg,1,1,1.0
378,sat_img_00378.jpg,1,1,1.0
379,sat_img_00379.jpg,0,0,0.0
380,sat_img_00380.jpg,0,0,0.0
381,sat_img_00381.jpg,1,1,1.0
382,sat_img_00382.jpg,0,0,0.0
383,sat_img_00383.jpg,0,0,0.0
384,sat_img_00384.jpg,1,1,1.0
385,sat_img_00385.jpg,0,0,0.0
386,sat_img_00386.jpg,1,1,1.0
387,sat_img_00387.jpg,1,1,1.0
388,sat_img_00388.jpg,0,0,0.0
389,sat_img_00389.jpg,1,1,1.0
390,sat_img_00390.jpg,1,1,1.0
391,sat_img_00391.jpg,0,0,0.0
392,sat_img_00392.jpg,0,0,0.0
393,sat_img_00393.jpg,0,0,0.0
394,sat_img_00394.jpg,1,1,1.0
395,sat_img_00395.jpg,0,0,0.0
396,sat_img_00396.jpg,1,1,1.0
397,sat_img_00397.jpg,0,0,0.0
398,sat_img_00398.jpg,0,0,0.0
399,sat_img_00399.jpg,0,0,0.0
400,sat_img_00400.jpg,1,1,1.0
