audio_id,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,ambient_noise
audio_0435,0,1,0,0,0,0,0,0,0,0,0
audio_0436,0,1,0,0,0,0,0,0,0,0,0
audio_0437,0,1,0,0,0,0,0,0,0,0,0
audio_0438,0,0,0,0,0,0,0,0,0,0,1
audio_0439,0,0,0,0,0,0,0,0,0,0,1
audio_0440,0,1,0,0,0,0,0,0,0,0,0
audio_0441,0,0,0,0,0,1,0,0,0,0,0
audio_0442,0,0,0,0,0,0,0,0,0,0,1
audio_0443,0,1,0,0,0,0,0,0,0,0,0
audio_0444,1,0,0,0,0,0,0,0,0,0,0
audio_0445,0,0,0,0,0,0,0,0,0,0,1
audio_0446,0,0,0,0,0,0,0,0,1,0,0
audio_0447,0,1,0,0,0,0,0,0,0,0,0
audio_0448,0,1,0,0,0,0,0,0,0,0,0
audio_0449,0,0,0,0,0,1,0,0,0,0,0
audio_0450,0,1,0,0,0,0,0,0,0,0,0
audio_0451,1,0,0,0,0,0,0,0,0,0,0
audio_0452,0,1,0,0,0,0,0,0,0,0,0
audio_0453,0,0,0,0,0,0,0,0,0,0,1
audio_0454,0,1,0,0,0,0,0,0,0,0,0
audio_0455,0,1,0,0,0,0,0,0,0,0,0
audio_0456,1,1,0,0,0,0,0,0,0,0,0
audio_0457,0,0,0,0,0,1,0,0,0,0,0
audio_0458,0,1,0,0,0,0,0,0,0,0,0
audio_0459,0,1,0,0,0,0,0,0,0,0,0
audio_0460,0,0,0,0,0,0,0,0,1,0,0
audio_0461,0,1,0,0,0,0,0,0,0,0,0
audio_0462,0,1,0,0,0,0,0,0,0,0,0
audio_0463,0,1,0,0,0,0,0,0,0,0,0
audio_0464,0,0,0,0,0,0,0,0,1,0,0
audio_0465,0,0,0,0,0,0,0,0,0,0,1
audio_0466,0,1,0,0,0,0,0,0,0,0,0
audio_0467,0,0,0,0,0,0,0,1,0,0,0
audio_0468,0,1,0,0,0,0,0,0,0,0,0
audio_0469,0,1,0,0,0,0,0,0,0,0,0
audio_0470,0,1,0,0,0,0,0,0,0,0,0
audio_0471,0,1,0,0,0,0,0,0,0,0,0
audio_0472,0,0,0,0,0,0,0,0,1,0,0
audio_0473,0,1,0,0,0,0,0,0,0,0,0
audio_0474,0,1,0,0,0,0,0,0,0,0,0
audio_0475,0,0,0,0,1,0,0,0,0,0,0
audio_0476,0,1,0,0,0,0,0,0,0,0,0
audio_0477,0,1,0,0,0,0,0,0,0,0,0
audio_0478,0,1,0,0,0,0,0,0,0,0,0
audio_0479,0,1,0,0,0,0,0,0,0,0,0
audio_0480,0,0,0,0,0,0,0,0,0,0,1
audio_0481,1,0,0,0,0,0,0,0,0,0,0
audio_0482,0,1,0,0,0,0,0,0,0,0,0
audio_0483,0,0,0,0,0,0,0,0,0,0,1
audio_0484,0,0,0,0,0,0,0,0,0,0,1
audio_0485,0,1,0,0,0,0,0,0,0,0,0
audio_0486,0,0,0,0,0,0,0,0,0,0,1
audio_0487,0,1,0,0,0,0,0,0,0,0,0
audio_0488,0,1,0,0,0,0,0,0,0,0,0
audio_0489,0,1,0,0,0,0,0,0,0,0,0
audio_0490,0,1,0,0,0,0,0,0,0,0,0
audio_0491,0,0,0,0,0,0,0,0,0,0,1
audio_0492,0,1,0,0,0,0,0,0,0,0,0
audio_0493,0,0,0,0,0,0,0,0,0,0,1
audio_0494,0,1,0,0,0,0,0,0,0,0,0
audio_0495,0,1,0,0,0,0,0,0,0,0,0
audio_0496,0,1,0,0,0,0,0,0,0,0,0
audio_0497,0,1,0,0,0,0,0,0,0,0,0
audio_0498,0,1,0,0,0,0,0,0,0,0,0
audio_0499,0,0,0,0,0,0,0,0,0,0,1
audio_0500,0,0,0,0,0,0,0,0,0,0,1
